Security,NAPMPMI  Index                                                  ,
Start Date,5/31/1981 0:00,
End Date,4/30/2021 0:00,
Period,M,
,,
Date,PX_LAST,FIRST_REVISION
3/31/2009,37.2,#N/A N/A
2/28/2009,36.6,#N/A N/A
1/31/2009,36.4,#N/A N/A
12/31/2008,34.5,32.9
11/30/2008,39,#N/A N/A
10/31/2008,38.2,#N/A N/A
9/30/2008,47.2,#N/A N/A
8/31/2008,50.1,#N/A N/A
7/31/2008,50.8,#N/A N/A
6/30/2008,49.9,#N/A N/A
5/31/2008,48.9,#N/A N/A
4/30/2008,48.5,#N/A N/A
3/31/2008,49.7,#N/A N/A
2/29/2008,48.8,#N/A N/A
1/31/2008,50.9,#N/A N/A
12/31/2007,50.1,#N/A N/A
11/30/2007,51.5,#N/A N/A
10/31/2007,52.8,#N/A N/A
9/30/2007,53.8,#N/A N/A
8/31/2007,52.2,#N/A N/A
7/31/2007,51.8,#N/A N/A
6/30/2007,54,#N/A N/A
5/31/2007,53.1,#N/A N/A
4/30/2007,52.7,#N/A N/A
3/31/2007,52.8,#N/A N/A
2/28/2007,54.1,#N/A N/A
1/31/2007,50.4,#N/A N/A
12/31/2006,51.4,#N/A N/A
11/30/2006,50.3,#N/A N/A
10/31/2006,51.4,#N/A N/A
9/30/2006,52.2,#N/A N/A
8/31/2006,53.7,#N/A N/A
7/31/2006,53,#N/A N/A
6/30/2006,52,#N/A N/A
5/31/2006,53.7,#N/A N/A
4/30/2006,55.2,#N/A N/A
3/31/2006,54.3,#N/A N/A
2/28/2006,55.8,#N/A N/A
1/31/2006,55,#N/A N/A
12/31/2005,55.1,55.6
11/30/2005,56.7,#N/A N/A
10/31/2005,57.2,#N/A N/A
9/30/2005,56.8,#N/A N/A
8/31/2005,52.4,#N/A N/A
7/31/2005,52.8,#N/A N/A
6/30/2005,52.4,#N/A N/A
5/31/2005,50.8,#N/A N/A
4/30/2005,52.2,#N/A N/A
3/31/2005,55.2,#N/A N/A
2/28/2005,55.5,#N/A N/A
1/31/2005,56.8,#N/A N/A
12/31/2004,57.2,57.3
11/30/2004,56.2,#N/A N/A
10/31/2004,56.3,#N/A N/A
9/30/2004,57.4,#N/A N/A
8/31/2004,58.5,#N/A N/A
7/31/2004,59.9,#N/A N/A
6/30/2004,60.5,#N/A N/A
5/31/2004,61.4,#N/A N/A
4/30/2004,60.6,#N/A N/A
3/31/2004,60.6,#N/A N/A
2/29/2004,59.9,#N/A N/A
1/31/2004,60.8,#N/A N/A
12/31/2003,60.1,63.4
11/30/2003,58.4,#N/A N/A
10/31/2003,55.2,#N/A N/A
9/30/2003,52.4,#N/A N/A
8/31/2003,53.2,#N/A N/A
7/31/2003,51,#N/A N/A
6/30/2003,49,#N/A N/A
5/31/2003,49,#N/A N/A
4/30/2003,46.1,#N/A N/A
3/31/2003,46.3,#N/A N/A
2/28/2003,48.8,#N/A N/A
1/31/2003,51.3,#N/A N/A
12/31/2002,51.6,55.2
11/30/2002,48.5,#N/A N/A
10/31/2002,49,#N/A N/A
9/30/2002,50.5,#N/A N/A
8/31/2002,50.3,#N/A N/A
7/31/2002,50.2,#N/A N/A
6/30/2002,53.6,#N/A N/A
5/31/2002,53.1,#N/A N/A
4/30/2002,52.4,#N/A N/A
3/31/2002,52.4,#N/A N/A
2/28/2002,50.7,#N/A N/A
1/31/2002,47.5,#N/A N/A
12/31/2001,45.3,48.1
11/30/2001,44.1,#N/A N/A
10/31/2001,40.8,#N/A N/A
9/30/2001,46.2,#N/A N/A
8/31/2001,46.3,#N/A N/A
7/31/2001,43.5,#N/A N/A
6/30/2001,43.2,#N/A N/A
5/31/2001,41.3,#N/A N/A
4/30/2001,42.7,#N/A N/A
3/31/2001,43.1,#N/A N/A
2/28/2001,42.1,#N/A N/A
1/31/2001,42.3,#N/A N/A
12/31/2000,43.9,#N/A N/A
11/30/2000,48.5,#N/A N/A
10/31/2000,48.7,#N/A N/A
9/30/2000,49.7,#N/A N/A
8/31/2000,49.9,#N/A N/A
7/31/2000,52.5,#N/A N/A
6/30/2000,51.4,#N/A N/A
5/31/2000,53.2,#N/A N/A
4/30/2000,54.7,#N/A N/A
3/31/2000,54.9,#N/A N/A
2/29/2000,55.8,#N/A N/A
1/31/2000,56.7,#N/A N/A
12/31/1999,57.8,56.8
11/30/1999,58.1,#N/A N/A
10/31/1999,57.2,#N/A N/A
9/30/1999,57,#N/A N/A
8/31/1999,54.8,#N/A N/A
7/31/1999,53.6,#N/A N/A
6/30/1999,55.8,#N/A N/A
5/31/1999,54.3,#N/A N/A
4/30/1999,52.3,#N/A N/A
3/31/1999,52.4,#N/A N/A
2/28/1999,51.7,#N/A N/A
1/31/1999,50.6,#N/A N/A
12/31/1998,46.8,#N/A N/A
11/30/1998,48.2,#N/A N/A
10/31/1998,48.7,#N/A N/A
9/30/1998,48.7,#N/A N/A
8/31/1998,49.3,#N/A N/A
7/31/1998,49.2,#N/A N/A
6/30/1998,48.9,#N/A N/A
5/31/1998,50.9,#N/A N/A
4/30/1998,52.2,#N/A N/A
3/31/1998,52.9,#N/A N/A
2/28/1998,52.9,#N/A N/A
1/31/1998,53.8,#N/A N/A
12/31/1997,54.5,#N/A N/A
11/30/1997,55.7,#N/A N/A
10/31/1997,56.4,#N/A N/A
9/30/1997,53.9,#N/A N/A
8/31/1997,56.3,#N/A N/A
7/31/1997,57.7,#N/A N/A
6/30/1997,54.9,#N/A N/A
5/31/1997,56.1,#N/A N/A
4/30/1997,53.7,54.2
3/31/1997,53.8,#N/A N/A
2/28/1997,53.1,#N/A N/A
1/31/1997,53.8,#N/A N/A
12/31/1996,55.2,#N/A N/A
11/30/1996,53,#N/A N/A
10/31/1996,50.5,#N/A N/A
9/30/1996,51.1,#N/A N/A
8/31/1996,51.6,#N/A N/A
7/31/1996,49.7,#N/A N/A
6/30/1996,53.6,#N/A N/A
5/31/1996,49.1,#N/A N/A
4/30/1996,49.3,#N/A N/A
3/31/1996,46.9,#N/A N/A
2/29/1996,45.9,#N/A N/A
1/31/1996,45.5,#N/A N/A
12/31/1995,46.2,#N/A N/A
11/30/1995,45.9,#N/A N/A
10/31/1995,46.7,#N/A N/A
9/30/1995,48.1,#N/A N/A
8/31/1995,47.1,#N/A N/A
7/31/1995,50.7,#N/A N/A
6/30/1995,45.9,#N/A N/A
5/31/1995,46.7,#N/A N/A
4/30/1995,51.5,#N/A N/A
3/31/1995,52.1,#N/A N/A
2/28/1995,55.1,#N/A N/A
1/31/1995,57.4,#N/A N/A
12/31/1994,56.1,#N/A N/A
11/30/1994,59.2,#N/A N/A
10/31/1994,59.4,#N/A N/A
9/30/1994,59,#N/A N/A
8/31/1994,58,#N/A N/A
7/31/1994,58.5,#N/A N/A
6/30/1994,58.8,#N/A N/A
5/31/1994,58.2,#N/A N/A
4/30/1994,57.4,#N/A N/A
3/31/1994,56.9,#N/A N/A
2/28/1994,56.5,#N/A N/A
1/31/1994,56,#N/A N/A
12/31/1993,55.6,#N/A N/A
11/30/1993,53.8,#N/A N/A
10/31/1993,53.4,#N/A N/A
9/30/1993,50.8,#N/A N/A
8/31/1993,50.7,#N/A N/A
7/31/1993,50.2,#N/A N/A
6/30/1993,49.6,#N/A N/A
5/31/1993,51.2,#N/A N/A
4/30/1993,50.2,#N/A N/A
3/31/1993,53.5,#N/A N/A
2/28/1993,55.2,#N/A N/A
1/31/1993,55.8,#N/A N/A
12/31/1992,54.2,#N/A N/A
11/30/1992,53.6,#N/A N/A
10/31/1992,50.3,#N/A N/A
9/30/1992,49.7,#N/A N/A
8/31/1992,53.4,#N/A N/A
7/31/1992,53.9,#N/A N/A
6/30/1992,53.6,#N/A N/A
5/31/1992,55.7,#N/A N/A
4/30/1992,52.6,#N/A N/A
3/31/1992,54.6,#N/A N/A
2/29/1992,52.7,#N/A N/A
1/31/1992,47.3,#N/A N/A
12/31/1991,46.8,#N/A N/A
11/30/1991,49.5,#N/A N/A
10/31/1991,53.1,#N/A N/A
9/30/1991,54.9,#N/A N/A
8/31/1991,52.9,#N/A N/A
7/31/1991,50.6,#N/A N/A
6/30/1991,50.3,#N/A N/A
5/31/1991,44.5,#N/A N/A
4/30/1991,42.8,#N/A N/A
3/31/1991,40.7,#N/A N/A
2/28/1991,39.4,#N/A N/A
1/31/1991,39.2,#N/A N/A
12/31/1990,40.8,#N/A N/A
11/30/1990,41.3,#N/A N/A
10/31/1990,43.2,#N/A N/A
9/30/1990,44.5,#N/A N/A
8/31/1990,46.1,#N/A N/A
7/31/1990,46.6,#N/A N/A
6/30/1990,49.2,#N/A N/A
5/31/1990,49.5,#N/A N/A
4/30/1990,50,#N/A N/A
3/31/1990,49.9,#N/A N/A
2/28/1990,49.1,#N/A N/A
1/31/1990,47.2,#N/A N/A
12/31/1989,47.4,#N/A N/A
11/30/1989,46.8,#N/A N/A
10/31/1989,46.8,#N/A N/A
9/30/1989,46,#N/A N/A
8/31/1989,45.1,#N/A N/A
7/31/1989,45.9,#N/A N/A
6/30/1989,47.3,#N/A N/A
5/31/1989,49.3,#N/A N/A
4/30/1989,52.2,#N/A N/A
3/31/1989,51.5,#N/A N/A
2/28/1989,54.1,#N/A N/A
1/31/1989,54.7,#N/A N/A
12/31/1988,56,#N/A N/A
11/30/1988,55.6,#N/A N/A
10/31/1988,55.4,#N/A N/A
9/30/1988,54.5,#N/A N/A
8/31/1988,56,#N/A N/A
7/31/1988,58.2,#N/A N/A
6/30/1988,59.3,#N/A N/A
5/31/1988,55.5,#N/A N/A
4/30/1988,55.8,#N/A N/A
3/31/1988,54.6,#N/A N/A
2/29/1988,56.2,#N/A N/A
1/31/1988,57.5,#N/A N/A
12/31/1987,61,#N/A N/A
11/30/1987,58.8,#N/A N/A
10/31/1987,60.7,#N/A N/A
9/30/1987,60,#N/A N/A
8/31/1987,59.3,#N/A N/A
7/31/1987,57.5,#N/A N/A
6/30/1987,57.4,#N/A N/A
5/31/1987,57.2,#N/A N/A
4/30/1987,55.5,#N/A N/A
3/31/1987,55,#N/A N/A
2/28/1987,52.6,#N/A N/A
1/31/1987,54.9,#N/A N/A
12/31/1986,50.5,#N/A N/A
11/30/1986,51.2,#N/A N/A
10/31/1986,51.2,#N/A N/A
9/30/1986,52.4,#N/A N/A
8/31/1986,52.6,#N/A N/A
7/31/1986,48,#N/A N/A
6/30/1986,50.5,#N/A N/A
5/31/1986,53.4,#N/A N/A
4/30/1986,49.7,#N/A N/A
3/31/1986,51,#N/A N/A
2/28/1986,51,#N/A N/A
1/31/1986,51.2,#N/A N/A
12/31/1985,50.7,#N/A N/A
11/30/1985,52,#N/A N/A
10/31/1985,50.9,#N/A N/A
9/30/1985,49.9,#N/A N/A
8/31/1985,47.7,#N/A N/A
7/31/1985,47.9,#N/A N/A
6/30/1985,47.8,#N/A N/A
5/31/1985,47.1,#N/A N/A
4/30/1985,48.2,#N/A N/A
3/31/1985,47.8,#N/A N/A
2/28/1985,49.9,#N/A N/A
1/31/1985,50.3,#N/A N/A
12/31/1984,50.6,#N/A N/A
11/30/1984,50.3,#N/A N/A
10/31/1984,50.8,#N/A N/A
9/30/1984,50,#N/A N/A
8/31/1984,53,#N/A N/A
7/31/1984,56.1,#N/A N/A
6/30/1984,58.1,#N/A N/A
5/31/1984,58.6,#N/A N/A
4/30/1984,61,#N/A N/A
3/31/1984,58.9,#N/A N/A
2/29/1984,61.3,#N/A N/A
1/31/1984,60.5,#N/A N/A
12/31/1983,69.9,#N/A N/A
11/30/1983,66,#N/A N/A
10/31/1983,64.4,#N/A N/A
9/30/1983,62.5,#N/A N/A
8/31/1983,63.1,#N/A N/A
7/31/1983,63.6,#N/A N/A
6/30/1983,57.5,#N/A N/A
5/31/1983,56.1,#N/A N/A
4/30/1983,54.2,#N/A N/A
3/31/1983,53.9,#N/A N/A
2/28/1983,54.4,#N/A N/A
1/31/1983,46,#N/A N/A
12/31/1982,42.8,#N/A N/A
11/30/1982,39.2,#N/A N/A
10/31/1982,39.4,#N/A N/A
9/30/1982,38.8,#N/A N/A
8/31/1982,38.3,#N/A N/A
7/31/1982,38.4,#N/A N/A
6/30/1982,38.3,#N/A N/A
5/31/1982,35.5,#N/A N/A
4/30/1982,37.8,#N/A N/A
3/31/1982,36.8,#N/A N/A
2/28/1982,38.3,#N/A N/A
1/31/1982,38.2,#N/A N/A
12/31/1981,37.8,#N/A N/A
11/30/1981,36.1,#N/A N/A
10/31/1981,40,#N/A N/A
9/30/1981,42.5,#N/A N/A
8/31/1981,48.3,#N/A N/A
7/31/1981,46.7,#N/A N/A
6/30/1981,50.7,#N/A N/A
5/31/1981,53.5,#N/A N/A
