Security,.STRATOPT U Index                                               
Start Date,4/16/1999 0:00
End Date,5/18/2021 0:00
Period,D
,
Date,PX_LAST
10/21/2020,-2.5486
10/20/2020,-2.7626
10/19/2020,-2.3029
10/16/2020,-3.8983
10/15/2020,-5.6653
10/14/2020,-5.8094
10/13/2020,-6.4332
10/12/2020,-7.0233
10/9/2020,-5.4968
10/8/2020,-4.666
10/7/2020,-3.9027
10/6/2020,-2.23
10/5/2020,-3.5976
10/2/2020,-1.8647
10/1/2020,-2.8041
9/30/2020,-2.2896
9/29/2020,-1.4831
9/28/2020,-1.9573
9/25/2020,-0.3778
9/24/2020,1.2139
9/23/2020,1.5163
9/22/2020,-0.8919
9/21/2020,0.1506
9/18/2020,-1.0083
9/17/2020,-2.1153
9/16/2020,-2.9387
9/15/2020,-5.9744
9/14/2020,-5.4836
9/11/2020,-4.2793
9/10/2020,-4.2283
