Security,CDSPHRAV Index                                                  ,
Start Date,1/2/2003 0:00,
End Date,5/18/2021 0:00,
Period,D,
Currency,CNY,
,,
Date,PX_LAST,CHG_NET_1D
11/16/2016,3272,-78
11/15/2016,3350,-30
11/14/2016,3380,-12
11/11/2016,3392,5
11/10/2016,3387,30
11/9/2016,3357,38
11/8/2016,3319,66
11/7/2016,3253,80
11/4/2016,3173,28
11/3/2016,3145,31
11/2/2016,3114,73
11/1/2016,3041,44
10/31/2016,2997,28
10/28/2016,2969,-1
10/27/2016,2970,0
10/26/2016,2970,15
10/25/2016,2955,33
10/24/2016,2922,-5
10/21/2016,2927,-7
10/20/2016,2934,7
10/19/2016,2927,24
10/18/2016,2903,14
10/17/2016,2889,28
10/14/2016,2861,0
10/13/2016,2861,3
10/12/2016,2858,24
10/11/2016,2834,27
10/10/2016,2807,7
9/30/2016,2800,1
9/29/2016,2799,14
9/28/2016,2785,-8
9/27/2016,2793,1
9/26/2016,2792,25
9/23/2016,2767,17
9/22/2016,2750,6
9/21/2016,2744,1
9/20/2016,2743,-3
9/19/2016,2746,-30
9/14/2016,2776,-18
9/13/2016,2794,-10
9/12/2016,2804,-20
9/9/2016,2824,2
9/8/2016,2822,-25
9/7/2016,2847,-19
9/6/2016,2866,0
9/5/2016,2866,20
9/2/2016,2846,6
9/1/2016,2840,-38
8/31/2016,2878,-9
8/30/2016,2887,1
8/29/2016,2886,-7
8/26/2016,2893,6
8/25/2016,2887,0
8/24/2016,2887,20
8/23/2016,2867,17
8/22/2016,2850,19
8/19/2016,2831,-9
8/18/2016,2840,-1
8/17/2016,2841,38
8/16/2016,2803,42
8/15/2016,2761,13
8/12/2016,2748,13
8/11/2016,2735,-14
8/9/2016,2749,26
8/8/2016,2723,35
8/5/2016,2688,1
8/4/2016,2687,-8
8/3/2016,2695,-1
8/2/2016,2696,12
8/1/2016,2684,8
7/29/2016,2676,-4
7/28/2016,2680,16
7/27/2016,2664,39
7/26/2016,2625,9
7/25/2016,2616,-12
7/22/2016,2628,42
7/21/2016,2586,3
7/20/2016,2583,-14
7/19/2016,2597,-61
7/18/2016,2658,-15
7/15/2016,2673,-7
7/14/2016,2680,7
7/13/2016,2673,59
7/12/2016,2614,29
7/11/2016,2585,-3
7/8/2016,2588,11
7/7/2016,2577,7
7/6/2016,2570,-17
7/5/2016,2587,-4
7/4/2016,2591,42
7/1/2016,2549,12
6/30/2016,2537,-5
6/29/2016,2542,5
6/28/2016,2537,22
6/27/2016,2515,8
6/24/2016,2507,-10
6/23/2016,2517,0
6/22/2016,2517,3
6/21/2016,2514,-9
6/20/2016,2523,-17
6/17/2016,2540,-19
6/16/2016,2559,-11
6/15/2016,2570,-14
6/14/2016,2584,3
6/13/2016,2581,12
6/8/2016,2569,6
6/7/2016,2563,28
6/6/2016,2535,-8
6/3/2016,2543,2
6/2/2016,2541,-5
6/1/2016,2546,-7
5/31/2016,2553,-2
5/30/2016,2555,7
5/27/2016,2548,-1
5/26/2016,2549,-11
5/25/2016,2560,9
5/24/2016,2551,-55
5/23/2016,2606,-42
5/20/2016,2648,-32
5/19/2016,2680,-19
5/18/2016,2699,37
5/17/2016,2662,24
5/16/2016,2638,-36
5/13/2016,2674,-65
5/12/2016,2739,30
5/11/2016,2709,30
5/10/2016,2679,-155
5/9/2016,2834,-100
5/6/2016,2934,-82
5/5/2016,3016,-45
5/4/2016,3061,-57
5/3/2016,3118,-32
4/29/2016,3150,100
4/28/2016,3050,-34
4/27/2016,3084,-89
4/26/2016,3173,-40
4/25/2016,3213,-23
4/22/2016,3236,7
4/21/2016,3229,104
4/20/2016,3125,130
4/19/2016,2995,112
4/15/2016,2883,-14
4/14/2016,2897,11
4/13/2016,2886,29
4/12/2016,2857,72
4/11/2016,2785,115
4/8/2016,2670,25
4/7/2016,2645,4
4/6/2016,2641,29
4/5/2016,2612,69
4/1/2016,2543,30
3/31/2016,2513,0
3/30/2016,2513,-17
3/29/2016,2530,-4
3/28/2016,2534,48
3/25/2016,2486,-20
3/24/2016,2506,-8
3/23/2016,2514,12
3/22/2016,2502,19
3/21/2016,2483,62
3/18/2016,2421,80
3/17/2016,2341,21
3/16/2016,2320,-54
3/15/2016,2374,-35
3/14/2016,2409,-51
3/11/2016,2460,-37
3/10/2016,2497,-50
3/9/2016,2547,-118
3/8/2016,2665,146
3/7/2016,2519,287
3/4/2016,2232,37
3/3/2016,2195,37
3/2/2016,2158,33
3/1/2016,2125,10
2/29/2016,2115,-7
2/26/2016,2122,-6
2/25/2016,2128,-3
2/24/2016,2131,-8
2/23/2016,2139,36
2/22/2016,2103,41
2/19/2016,2062,10
2/18/2016,2052,11
2/17/2016,2041,17
2/16/2016,2024,11
2/15/2016,2013,4
2/4/2016,2009,0
2/3/2016,2009,0
2/2/2016,2009,1
2/1/2016,2008,0
1/29/2016,2008,0
1/28/2016,2008,2
1/27/2016,2006,2
1/26/2016,2004,-1
1/25/2016,2005,0
1/22/2016,2005,3
1/21/2016,2002,-6
1/20/2016,2008,-1
1/19/2016,2009,22
1/18/2016,1987,20
1/15/2016,1967,12
1/14/2016,1955,-7
1/13/2016,1962,-16
1/12/2016,1978,-17
1/11/2016,1995,-24
1/8/2016,2019,-17
1/7/2016,2036,-16
1/6/2016,2052,-9
1/5/2016,2061,31
1/4/2016,2030,36
12/31/2015,1994,14
12/30/2015,1980,26
12/29/2015,1954,6
12/28/2015,1948,1
12/25/2015,1947,3
12/24/2015,1944,10
12/23/2015,1934,11
12/22/2015,1923,28
12/21/2015,1895,24
12/18/2015,1871,13
12/17/2015,1858,15
12/16/2015,1843,10
12/15/2015,1833,19
12/14/2015,1814,2
12/11/2015,1812,0
12/10/2015,1812,-1
12/9/2015,1813,-2
12/8/2015,1815,-1
12/7/2015,1816,10
12/4/2015,1806,-5
12/3/2015,1811,1
12/2/2015,1810,-3
12/1/2015,1813,-6
11/30/2015,1819,-8
11/27/2015,1827,-2
11/26/2015,1829,-1
11/25/2015,1830,3
11/24/2015,1827,-1
11/23/2015,1828,1
11/20/2015,1827,-5
11/19/2015,1832,-1
11/18/2015,1833,-2
11/17/2015,1835,1
11/16/2015,1834,5
11/13/2015,1829,-5
11/12/2015,1834,-11
11/11/2015,1845,-3
11/10/2015,1848,-4
11/9/2015,1852,-10
11/6/2015,1862,-24
11/5/2015,1886,0
11/4/2015,1886,-6
11/3/2015,1892,-7
11/2/2015,1899,-5
10/30/2015,1904,-4
10/29/2015,1908,-8
10/28/2015,1916,0
10/27/2015,1916,-6
10/26/2015,1922,-1
10/23/2015,1923,-5
10/22/2015,1928,-13
10/21/2015,1941,-9
10/20/2015,1950,-10
10/19/2015,1960,-5
10/16/2015,1965,-7
10/15/2015,1972,-7
10/14/2015,1979,-3
10/13/2015,1982,-1
10/9/2015,1983,-10
10/8/2015,1993,0
9/30/2015,1993,-4
9/29/2015,1997,-5
9/28/2015,2002,-14
9/25/2015,2016,0
9/24/2015,2016,-1
9/23/2015,2017,-3
9/22/2015,2020,-9
9/21/2015,2029,-2
9/18/2015,2031,-1
9/17/2015,2032,-3
9/16/2015,2035,-2
9/15/2015,2037,-1
9/14/2015,2038,-3
9/11/2015,2041,-3
9/10/2015,2044,-2
9/9/2015,2046,7
9/8/2015,2039,-4
9/7/2015,2043,-2
9/2/2015,2045,-5
9/1/2015,2050,0
8/31/2015,2050,2
8/28/2015,2048,3
8/27/2015,2045,-1
8/26/2015,2046,-4
8/25/2015,2050,-18
8/24/2015,2068,-20
8/21/2015,2088,-11
8/20/2015,2099,-9
8/19/2015,2108,-10
8/18/2015,2118,-1
8/17/2015,2119,2
8/14/2015,2117,3
8/13/2015,2114,1
8/12/2015,2113,-5
8/11/2015,2118,-7
8/10/2015,2125,-1
8/7/2015,2126,-5
8/6/2015,2131,4
8/5/2015,2127,8
8/4/2015,2119,8
8/3/2015,2111,28
7/31/2015,2083,3
7/30/2015,2080,10
7/29/2015,2070,3
7/28/2015,2067,-1
7/27/2015,2068,16
7/24/2015,2052,-4
7/23/2015,2056,-30
7/22/2015,2086,-21
7/21/2015,2107,40
7/20/2015,2067,26
7/17/2015,2041,-2
7/16/2015,2043,-16
7/15/2015,2059,-12
7/14/2015,2071,-10
7/13/2015,2081,12
7/10/2015,2069,33
7/9/2015,2036,-11
7/8/2015,2047,-52
7/7/2015,2099,-34
7/6/2015,2133,-36
7/3/2015,2169,-10
7/2/2015,2179,-20
7/1/2015,2199,-25
6/30/2015,2224,-30
6/29/2015,2254,-6
6/26/2015,2260,-26
6/25/2015,2286,0
6/24/2015,2286,-6
6/23/2015,2292,-3
6/19/2015,2295,-3
6/18/2015,2298,-20
6/17/2015,2318,-19
6/16/2015,2337,-12
6/15/2015,2349,-20
6/12/2015,2369,-10
6/11/2015,2379,-6
6/10/2015,2385,-5
6/9/2015,2390,-4
6/8/2015,2394,-8
6/5/2015,2402,-8
6/4/2015,2410,-6
6/3/2015,2416,-2
6/2/2015,2418,1
6/1/2015,2417,-2
5/29/2015,2419,-6
5/28/2015,2425,-6
5/27/2015,2431,-3
5/26/2015,2434,7
5/25/2015,2427,1
5/22/2015,2426,-1
5/21/2015,2427,-6
5/20/2015,2433,-8
5/19/2015,2441,-7
5/18/2015,2448,-6
5/15/2015,2454,-12
5/14/2015,2466,-14
5/13/2015,2480,-14
5/12/2015,2494,-3
5/11/2015,2497,-6
5/8/2015,2503,-20
5/7/2015,2523,-5
5/6/2015,2528,2
5/5/2015,2526,3
5/4/2015,2523,9
4/30/2015,2514,-1
4/29/2015,2515,3
4/28/2015,2512,15
4/27/2015,2497,19
4/24/2015,2478,21
4/23/2015,2457,13
4/22/2015,2444,-3
4/21/2015,2447,-4
4/20/2015,2451,-2
4/17/2015,2453,-5
4/16/2015,2458,20
4/15/2015,2438,4
4/14/2015,2434,0
4/13/2015,2434,-4
4/10/2015,2438,-10
4/9/2015,2448,-11
4/8/2015,2459,-17
4/7/2015,2476,-16
4/3/2015,2492,-17
4/2/2015,2509,-17
4/1/2015,2526,-17
3/31/2015,2543,-11
3/30/2015,2554,-2
3/27/2015,2556,-16
3/26/2015,2572,-8
3/25/2015,2580,24
3/24/2015,2556,66
3/23/2015,2490,0
3/20/2015,2490,-11
3/19/2015,2501,-5
3/18/2015,2506,11
3/17/2015,2495,16
3/16/2015,2479,8
3/13/2015,2471,12
3/12/2015,2459,-17
3/11/2015,2476,-23
3/10/2015,2499,-16
3/9/2015,2515,-18
3/6/2015,2533,-11
3/5/2015,2544,-11
3/4/2015,2555,-6
3/3/2015,2561,-8
3/2/2015,2569,-5
2/27/2015,2574,2
2/26/2015,2572,0
2/25/2015,2572,-1
2/13/2015,2573,0
2/12/2015,2573,0
2/11/2015,2573,-2
2/10/2015,2575,0
2/9/2015,2575,-9
2/6/2015,2584,-4
2/5/2015,2588,-8
2/4/2015,2596,-17
2/3/2015,2613,-11
2/2/2015,2624,-3
1/30/2015,2627,11
1/29/2015,2616,-7
1/28/2015,2623,-23
1/27/2015,2646,-33
1/26/2015,2679,-22
1/23/2015,2701,-21
1/22/2015,2722,-21
1/21/2015,2743,-24
1/20/2015,2767,-9
1/19/2015,2776,-12
1/16/2015,2788,-17
1/15/2015,2805,-27
1/14/2015,2832,-28
1/13/2015,2860,-40
1/12/2015,2900,-35
1/9/2015,2935,-15
1/8/2015,2950,-14
1/7/2015,2964,-12
1/6/2015,2976,-4
1/5/2015,2980,-4
12/31/2014,2984,3
12/30/2014,2981,-1
12/29/2014,2982,-6
12/26/2014,2988,-5
12/25/2014,2993,-10
12/24/2014,3003,-7
12/23/2014,3010,-14
12/22/2014,3024,0
12/19/2014,3024,-4
12/18/2014,3028,-6
12/17/2014,3034,-5
12/16/2014,3039,-6
12/15/2014,3045,-2
12/12/2014,3047,-1
12/11/2014,3048,1
12/10/2014,3047,-1
12/9/2014,3048,4
12/8/2014,3044,2
12/5/2014,3042,0
12/4/2014,3042,0
12/3/2014,3042,-1
12/2/2014,3043,8
12/1/2014,3035,3
11/28/2014,3032,20
11/27/2014,3012,1
11/26/2014,3011,3
11/25/2014,3008,4
11/24/2014,3004,9
11/21/2014,2995,0
11/20/2014,2995,2
11/19/2014,2993,3
11/18/2014,2990,0
11/17/2014,2990,0
11/14/2014,2990,-1
11/13/2014,2991,16
11/6/2014,2975,-3
11/5/2014,2978,3
11/4/2014,2975,-4
11/3/2014,2979,0
10/31/2014,2979,-1
10/30/2014,2980,1
10/29/2014,2979,-2
10/28/2014,2981,-5
10/27/2014,2986,-4
10/24/2014,2990,-11
10/23/2014,3001,-11
10/22/2014,3012,-3
10/21/2014,3015,1
10/20/2014,3014,-5
10/17/2014,3019,0
10/16/2014,3019,-4
10/15/2014,3023,0
10/14/2014,3023,17
10/13/2014,3006,21
10/10/2014,2985,-2
10/9/2014,2987,-4
10/8/2014,2991,4
9/30/2014,2987,-3
9/29/2014,2990,5
9/26/2014,2985,-11
9/25/2014,2996,-11
9/24/2014,3007,-10
9/23/2014,3017,-24
9/22/2014,3041,-28
9/18/2014,3069,-24
9/17/2014,3093,-11
9/16/2014,3104,45
9/15/2014,3059,-110
9/12/2014,3169,-10
9/11/2014,3179,-11
9/10/2014,3190,-4
9/9/2014,3194,-9
9/5/2014,3203,-12
9/4/2014,3215,-14
9/3/2014,3229,-9
9/2/2014,3238,-7
9/1/2014,3245,-6
8/29/2014,3251,-10
8/28/2014,3261,-14
8/27/2014,3275,-8
8/26/2014,3283,-8
8/25/2014,3291,-9
8/22/2014,3300,-11
8/21/2014,3311,-9
8/20/2014,3320,-4
8/19/2014,3324,-8
8/18/2014,3332,-3
8/15/2014,3335,-5
8/14/2014,3340,-6
8/13/2014,3346,-5
8/12/2014,3351,-3
8/11/2014,3354,-4
8/8/2014,3358,-1
8/7/2014,3359,-1
8/6/2014,3360,0
8/5/2014,3360,1
8/4/2014,3359,1
8/1/2014,3358,1
7/31/2014,3357,2
7/30/2014,3355,1
7/29/2014,3354,2
7/28/2014,3352,-1
7/25/2014,3353,-2
7/24/2014,3355,-2
7/23/2014,3357,-1
7/22/2014,3358,-2
7/21/2014,3360,-2
7/18/2014,3362,0
7/17/2014,3362,0
7/16/2014,3362,-2
7/15/2014,3364,3
7/14/2014,3361,-2
7/11/2014,3363,-1
7/10/2014,3364,-3
7/9/2014,3367,-4
7/8/2014,3371,-2
7/7/2014,3373,-5
7/4/2014,3378,1
7/3/2014,3377,-3
7/2/2014,3380,-2
7/1/2014,3382,-1
6/30/2014,3383,-2
6/27/2014,3385,-1
6/26/2014,3386,0
6/25/2014,3386,1
6/24/2014,3385,2
6/23/2014,3383,4
6/20/2014,3379,-4
6/19/2014,3383,3
6/18/2014,3380,1
6/17/2014,3379,-1
6/16/2014,3380,-6
6/13/2014,3386,-2
6/12/2014,3388,0
6/11/2014,3388,0
6/10/2014,3388,0
6/9/2014,3388,0
6/6/2014,3388,0
6/5/2014,3388,2
6/4/2014,3386,3
6/3/2014,3383,-1
5/30/2014,3384,-3
5/29/2014,3387,-2
5/28/2014,3389,4
5/27/2014,3385,2
5/26/2014,3383,1
5/23/2014,3382,-2
5/22/2014,3384,-1
5/21/2014,3385,0
5/20/2014,3385,-3
5/19/2014,3388,-11
5/16/2014,3399,-5
5/15/2014,3404,-2
5/14/2014,3406,0
5/13/2014,3406,1
5/12/2014,3405,-1
5/9/2014,3406,0
5/8/2014,3406,-5
5/7/2014,3411,-2
5/6/2014,3413,-2
5/5/2014,3415,0
4/30/2014,3415,0
4/29/2014,3415,-1
4/28/2014,3416,2
4/25/2014,3414,0
4/24/2014,3414,8
4/23/2014,3406,-1
4/22/2014,3407,-7
4/21/2014,3414,-15
4/18/2014,3429,-1
4/17/2014,3430,-3
4/16/2014,3433,-2
4/15/2014,3435,-9
4/14/2014,3444,39
4/11/2014,3405,30
4/10/2014,3375,3
4/9/2014,3372,27
4/8/2014,3345,13
4/4/2014,3332,2
4/3/2014,3330,1
4/2/2014,3329,6
4/1/2014,3323,4
3/31/2014,3319,1
3/28/2014,3318,1
3/27/2014,3317,1
3/26/2014,3316,3
3/25/2014,3313,0
3/24/2014,3313,-3
3/21/2014,3316,0
3/20/2014,3316,0
3/19/2014,3316,-6
3/18/2014,3322,0
3/17/2014,3322,2
3/14/2014,3320,1
3/13/2014,3319,-3
3/12/2014,3322,-3
3/11/2014,3325,-18
3/10/2014,3343,-16
3/7/2014,3359,-2
3/6/2014,3361,-8
3/5/2014,3369,-3
3/4/2014,3372,-7
3/3/2014,3379,-4
2/28/2014,3383,-2
2/27/2014,3385,-6
2/26/2014,3391,-12
2/25/2014,3403,-7
2/24/2014,3410,-8
2/21/2014,3418,-3
2/20/2014,3421,-2
2/19/2014,3423,1
2/18/2014,3422,4
2/17/2014,3418,-5
2/14/2014,3423,-6
2/13/2014,3429,-7
2/12/2014,3436,-3
2/11/2014,3439,-4
2/10/2014,3443,-8
1/28/2014,3451,0
1/27/2014,3451,0
1/24/2014,3451,0
1/23/2014,3451,0
1/22/2014,3451,-6
1/21/2014,3457,-3
1/20/2014,3460,1
1/17/2014,3459,-2
1/16/2014,3461,0
1/15/2014,3461,1
1/14/2014,3460,0
1/13/2014,3460,-5
1/10/2014,3465,-2
1/9/2014,3467,-2
1/8/2014,3469,-3
1/7/2014,3472,-2
1/6/2014,3474,1
1/3/2014,3473,-3
1/2/2014,3476,0
12/31/2013,3476,1
12/30/2013,3475,-1
12/27/2013,3476,-4
12/26/2013,3480,0
12/25/2013,3480,5
12/24/2013,3475,-1
12/23/2013,3476,-2
12/20/2013,3478,2
12/19/2013,3476,1
12/18/2013,3475,-2
12/17/2013,3477,1
12/16/2013,3476,-3
12/13/2013,3479,-3
12/12/2013,3482,5
12/11/2013,3477,-1
12/10/2013,3478,1
12/9/2013,3477,5
12/6/2013,3472,0
12/5/2013,3472,3
12/4/2013,3469,1
12/3/2013,3468,5
12/2/2013,3463,4
11/29/2013,3459,-1
11/28/2013,3460,-4
11/27/2013,3464,1
11/26/2013,3463,2
11/25/2013,3461,0
11/22/2013,3461,1
11/21/2013,3460,3
11/20/2013,3457,4
11/19/2013,3453,-10
11/18/2013,3463,-16
11/15/2013,3479,-2
11/14/2013,3481,-6
11/13/2013,3487,-7
11/12/2013,3494,-3
11/11/2013,3497,-1
11/8/2013,3498,-3
11/7/2013,3501,-4
11/6/2013,3505,6
11/5/2013,3499,9
11/4/2013,3490,13
11/1/2013,3477,3
10/31/2013,3474,11
10/30/2013,3463,2
10/29/2013,3461,-10
10/28/2013,3471,-5
10/25/2013,3476,-6
10/24/2013,3482,-20
10/23/2013,3502,-15
10/22/2013,3517,-7
10/21/2013,3524,-13
10/18/2013,3537,-8
10/17/2013,3545,-10
10/16/2013,3555,-5
10/15/2013,3560,-6
10/14/2013,3566,1
10/11/2013,3565,-3
10/10/2013,3568,12
10/9/2013,3556,0
10/8/2013,3556,-4
9/30/2013,3560,0
9/27/2013,3560,-10
9/26/2013,3570,-5
9/25/2013,3575,-6
9/24/2013,3581,5
9/23/2013,3576,1
9/18/2013,3575,-3
9/17/2013,3578,-12
9/16/2013,3590,-22
9/13/2013,3612,-5
9/12/2013,3617,-11
9/11/2013,3628,-5
9/10/2013,3633,-1
9/9/2013,3634,-8
9/6/2013,3642,-10
9/5/2013,3652,-18
9/4/2013,3670,-1
9/3/2013,3671,3
9/2/2013,3668,4
8/30/2013,3664,-4
8/29/2013,3668,-14
8/28/2013,3682,1
8/27/2013,3681,5
8/26/2013,3676,7
8/23/2013,3669,-2
8/22/2013,3671,-13
8/21/2013,3684,-1
8/20/2013,3685,-1
8/19/2013,3686,12
8/16/2013,3674,8
8/15/2013,3666,6
8/14/2013,3660,22
8/13/2013,3638,5
8/12/2013,3633,9
8/9/2013,3624,16
8/8/2013,3608,4
8/7/2013,3604,5
8/6/2013,3599,4
8/5/2013,3595,2
8/2/2013,3593,3
8/1/2013,3590,-3
7/31/2013,3593,-7
7/30/2013,3600,-14
7/29/2013,3614,-12
7/26/2013,3626,0
7/25/2013,3626,4
7/24/2013,3622,3
7/23/2013,3619,1
7/22/2013,3618,11
7/19/2013,3607,1
7/18/2013,3606,5
7/17/2013,3601,10
7/16/2013,3591,8
7/15/2013,3583,15
7/12/2013,3568,21
7/11/2013,3547,14
7/10/2013,3533,-2
7/9/2013,3535,2
7/8/2013,3533,-4
7/5/2013,3537,13
7/4/2013,3524,31
7/3/2013,3493,17
7/2/2013,3476,-1
7/1/2013,3477,3
6/28/2013,3474,3
6/27/2013,3471,-6
6/26/2013,3477,-9
6/25/2013,3486,-10
6/24/2013,3496,3
6/21/2013,3493,1
6/20/2013,3492,11
6/19/2013,3481,-6
6/18/2013,3487,17
6/17/2013,3470,22
6/14/2013,3448,1
6/13/2013,3447,-28
6/7/2013,3475,-19
6/6/2013,3494,13
6/5/2013,3481,35
6/4/2013,3446,2
6/3/2013,3444,8
5/31/2013,3436,-18
5/30/2013,3454,-22
5/29/2013,3476,-25
5/28/2013,3501,-12
5/27/2013,3513,-12
5/24/2013,3525,-21
5/23/2013,3546,-27
5/22/2013,3573,-14
5/21/2013,3587,-1
5/20/2013,3588,1
5/17/2013,3587,-25
5/16/2013,3612,-24
5/15/2013,3636,-9
5/14/2013,3645,-5
5/13/2013,3650,-15
5/10/2013,3665,-5
5/9/2013,3670,-9
5/8/2013,3679,-6
5/7/2013,3685,-4
5/6/2013,3689,17
5/3/2013,3672,-6
5/2/2013,3678,-38
4/26/2013,3716,-3
4/25/2013,3719,-8
4/24/2013,3727,-23
4/23/2013,3750,-9
4/22/2013,3759,12
4/19/2013,3747,-14
4/18/2013,3761,-31
4/17/2013,3792,-3
4/16/2013,3795,-37
4/15/2013,3832,-20
4/12/2013,3852,-13
4/11/2013,3865,-4
4/10/2013,3869,0
4/9/2013,3869,13
4/8/2013,3856,26
4/3/2013,3830,7
4/2/2013,3823,-17
4/1/2013,3840,-5
3/29/2013,3845,-28
3/28/2013,3873,-27
3/27/2013,3900,-25
3/26/2013,3925,-4
3/25/2013,3929,-12
3/22/2013,3941,12
3/21/2013,3929,18
3/20/2013,3911,-9
3/19/2013,3920,-4
3/18/2013,3924,58
3/15/2013,3866,-20
3/14/2013,3886,-51
3/13/2013,3937,-28
3/12/2013,3965,-24
3/11/2013,3989,-9
3/8/2013,3998,-3
3/7/2013,4001,-10
3/6/2013,4011,-2
3/5/2013,4013,-40
3/4/2013,4053,-14
3/1/2013,4067,-6
2/28/2013,4073,-4
2/27/2013,4077,-4
2/26/2013,4081,-33
2/25/2013,4114,-37
2/22/2013,4151,-26
2/21/2013,4177,-21
2/20/2013,4198,-3
2/19/2013,4201,-11
2/18/2013,4212,59
2/6/2013,4153,0
2/5/2013,4153,10
2/4/2013,4143,10
2/1/2013,4133,0
1/31/2013,4133,16
1/30/2013,4117,14
1/29/2013,4103,11
1/28/2013,4092,14
1/25/2013,4078,14
1/24/2013,4064,0
1/23/2013,4064,-2
1/22/2013,4066,2
1/21/2013,4064,1
1/18/2013,4063,7
1/17/2013,4056,-11
1/16/2013,4067,-8
1/15/2013,4075,2
1/14/2013,4073,-27
1/11/2013,4100,3
1/10/2013,4097,3
1/9/2013,4094,1
1/8/2013,4093,19
1/7/2013,4074,57
1/4/2013,4017,43
12/31/2012,3974,5
12/28/2012,3969,6
12/27/2012,3963,6
12/26/2012,3957,15
12/25/2012,3942,-1
12/24/2012,3943,-1
12/21/2012,3944,0
12/20/2012,3944,-5
12/19/2012,3949,-3
12/18/2012,3952,24
12/17/2012,3928,46
12/14/2012,3882,-2
12/13/2012,3884,0
12/12/2012,3884,1
12/11/2012,3883,-17
12/10/2012,3900,36
12/7/2012,3864,1
12/6/2012,3863,8
12/5/2012,3855,2
12/4/2012,3853,3
12/3/2012,3850,-14
11/30/2012,3864,-15
11/29/2012,3879,-8
11/28/2012,3887,-5
11/27/2012,3892,-2
11/26/2012,3894,4
11/23/2012,3890,1
11/22/2012,3889,-6
11/21/2012,3895,-16
11/20/2012,3911,-19
11/19/2012,3930,-20
11/16/2012,3950,-4
11/15/2012,3954,-1
11/14/2012,3955,5
11/13/2012,3950,24
11/12/2012,3926,37
11/9/2012,3889,18
11/8/2012,3871,22
11/7/2012,3849,12
11/6/2012,3837,16
11/5/2012,3821,54
11/2/2012,3767,7
11/1/2012,3760,1
10/31/2012,3759,1
10/30/2012,3758,4
10/29/2012,3754,14
10/26/2012,3740,-2
10/25/2012,3742,7
10/24/2012,3735,-7
10/23/2012,3742,14
10/22/2012,3728,-6
10/19/2012,3734,8
10/18/2012,3726,17
10/17/2012,3709,15
10/16/2012,3694,-23
10/15/2012,3717,-18
10/12/2012,3735,-4
10/11/2012,3739,24
10/10/2012,3715,7
10/9/2012,3708,0
10/8/2012,3708,101
9/28/2012,3607,3
9/27/2012,3604,1
9/26/2012,3603,4
9/25/2012,3599,6
9/24/2012,3593,-38
9/21/2012,3631,-69
9/20/2012,3700,124
9/19/2012,3576,3
9/18/2012,3573,68
9/17/2012,3505,78
9/14/2012,3427,21
9/13/2012,3406,-13
9/12/2012,3419,-3
9/11/2012,3422,50
9/10/2012,3372,119
9/7/2012,3253,-11
9/6/2012,3264,-46
9/5/2012,3310,-52
9/4/2012,3362,-22
9/3/2012,3384,-21
8/31/2012,3405,-14
8/30/2012,3419,-31
8/29/2012,3450,-21
8/28/2012,3471,-24
8/27/2012,3495,-16
8/24/2012,3511,-29
8/23/2012,3540,-12
8/22/2012,3552,-10
8/21/2012,3562,-31
8/20/2012,3593,-11
8/17/2012,3604,-16
8/16/2012,3620,-9
8/15/2012,3629,-1
8/14/2012,3630,-2
8/13/2012,3632,-2
8/10/2012,3634,-10
8/9/2012,3644,-6
8/8/2012,3650,-2
8/7/2012,3652,-11
8/6/2012,3663,-16
8/3/2012,3679,-16
8/2/2012,3695,-9
8/1/2012,3704,-7
7/31/2012,3711,1
7/30/2012,3710,6
7/27/2012,3704,-12
7/26/2012,3716,8
7/25/2012,3708,-12
7/24/2012,3720,-45
7/23/2012,3765,-71
7/20/2012,3836,-43
7/19/2012,3879,-30
7/18/2012,3909,-25
7/17/2012,3934,-21
7/16/2012,3955,-19
7/13/2012,3974,-19
7/12/2012,3993,-30
7/11/2012,4023,-12
7/10/2012,4035,-18
7/9/2012,4053,-16
7/6/2012,4069,-8
7/5/2012,4077,-3
7/4/2012,4080,-5
7/3/2012,4085,-8
7/2/2012,4093,-9
6/29/2012,4102,-18
6/28/2012,4120,-16
6/27/2012,4136,-10
6/26/2012,4146,-10
6/25/2012,4156,-1
6/21/2012,4157,-1
6/20/2012,4158,-1
6/19/2012,4159,-1
6/18/2012,4160,-7
6/15/2012,4167,0
6/14/2012,4167,-3
6/13/2012,4170,0
6/12/2012,4170,0
6/11/2012,4170,0
6/8/2012,4170,-2
6/7/2012,4172,4
6/6/2012,4168,0
6/5/2012,4168,-3
6/4/2012,4171,-7
6/1/2012,4178,4
5/31/2012,4174,-3
5/30/2012,4177,14
5/29/2012,4163,0
5/28/2012,4163,-28
5/25/2012,4191,0
5/24/2012,4191,-16
5/23/2012,4207,-9
5/22/2012,4216,1
5/21/2012,4215,-12
5/18/2012,4227,4
5/17/2012,4223,-11
5/16/2012,4234,-27
5/15/2012,4261,-10
5/14/2012,4271,-10
5/11/2012,4281,-13
5/10/2012,4294,-14
5/9/2012,4308,-14
5/8/2012,4322,-6
5/7/2012,4328,-4
5/4/2012,4332,-9
5/3/2012,4341,-9
5/2/2012,4350,5
4/27/2012,4345,0
4/26/2012,4345,-1
4/25/2012,4346,-12
4/24/2012,4358,-12
4/23/2012,4370,-4
4/20/2012,4374,-8
4/19/2012,4382,-3
4/18/2012,4385,-5
4/17/2012,4390,-2
4/16/2012,4392,-3
4/13/2012,4395,2
4/12/2012,4393,1
4/11/2012,4392,0
4/10/2012,4392,5
4/9/2012,4387,5
