Security,.IICORR G Index                                                 ,
Start Date,5/26/1991 0:00,
End Date,11/18/2018 0:00,
Period,W,
,,
Date,PX_LAST,USER_LOADED_PRICE
12/27/1998,11.1,11.1
12/20/1998,11.8,11.8
12/13/1998,11.3,11.3
12/6/1998,12.8,12.8
11/29/1998,12.8,12.8
11/22/1998,11.4,11.4
11/15/1998,11.5,11.5
11/8/1998,13.9,13.9
11/1/1998,15.4,15.4
10/25/1998,16.3,16.3
10/18/1998,17.1,17.1
10/11/1998,18.8,18.8
10/4/1998,18,18
9/27/1998,18.1,18.1
9/20/1998,16.1,16.1
9/13/1998,16.1,16.1
9/6/1998,16.1,16.1
8/30/1998,21,21
8/23/1998,24.8,24.8
8/16/1998,24.7,24.7
8/9/1998,22.4,22.4
8/2/1998,21.2,21.2
7/26/1998,22.4,22.4
7/19/1998,24,24
7/12/1998,26.6,26.6
7/5/1998,23.7,23.7
6/28/1998,25.2,25.2
6/21/1998,24.6,24.6
6/14/1998,26.6,26.6
6/7/1998,28.6,28.6
5/31/1998,27.6,27.6
5/24/1998,27.5,27.5
5/17/1998,29.3,29.3
5/10/1998,27.9,27.9
5/3/1998,22.7,22.7
4/26/1998,22.3,22.3
4/19/1998,23.6,23.6
4/12/1998,23.4,23.4
4/5/1998,24.2,24.2
3/29/1998,24,24
3/22/1998,24.4,24.4
3/15/1998,23.6,23.6
3/8/1998,24,24
3/1/1998,25.8,25.8
2/22/1998,23.8,23.8
2/15/1998,23.8,23.8
2/8/1998,23.2,23.2
2/1/1998,20.2,20.2
1/25/1998,20.2,20.2
1/18/1998,18.7,18.7
1/11/1998,17.2,17.2
1/4/1998,17.2,17.2
12/28/1997,17.7,17.7
12/21/1997,16.7,16.7
12/14/1997,16.3,16.3
12/7/1997,18.2,18.2
11/30/1997,18.7,18.7
11/23/1997,17.2,17.2
11/16/1997,18.6,18.6
11/9/1997,21,21
11/2/1997,21.6,21.6
10/26/1997,22,22
10/19/1997,21.5,21.5
10/12/1997,22.2,22.2
10/5/1997,24.4,24.4
9/28/1997,24.4,24.4
9/21/1997,25.2,25.2
9/14/1997,28,28
9/7/1997,33.9,33.9
8/31/1997,34.7,34.7
8/24/1997,31.3,31.3
8/17/1997,30,30
8/10/1997,28.6,28.6
8/3/1997,27.8,27.8
7/27/1997,27,27
7/20/1997,25,25
7/13/1997,25.4,25.4
7/6/1997,26.4,26.4
6/29/1997,25.4,25.4
6/22/1997,24.2,24.2
6/15/1997,23.1,23.1
6/8/1997,22.3,22.3
6/1/1997,23.3,23.3
5/25/1997,24.6,24.6
5/18/1997,22.7,22.7
5/11/1997,24.6,24.6
5/4/1997,25.4,25.4
4/27/1997,25.2,25.2
4/20/1997,24.2,24.2
4/13/1997,23.6,23.6
4/6/1997,23,23
3/30/1997,20.5,20.5
3/23/1997,20.3,20.3
3/16/1997,19.2,19.2
3/9/1997,20.8,20.8
3/2/1997,20.7,20.7
2/23/1997,19.3,19.3
2/16/1997,18.3,18.3
2/9/1997,15.3,15.3
2/2/1997,19,19
1/26/1997,18.2,18.2
1/19/1997,19,19
1/12/1997,19.1,19.1
1/5/1997,19,19
12/29/1996,21.4,21.4
12/22/1996,19.6,19.6
12/15/1996,19.3,19.3
12/8/1996,14.7,14.7
12/1/1996,14.5,14.5
11/24/1996,15.4,15.4
11/17/1996,16.8,16.8
11/10/1996,18,18
11/3/1996,17.5,17.5
10/27/1996,19,19
10/20/1996,20,20
10/13/1996,16.7,16.7
10/6/1996,13.9,13.9
9/29/1996,11.5,11.5
9/22/1996,10.5,10.5
9/15/1996,10.8,10.8
9/8/1996,10.6,10.6
9/1/1996,9.2,9.2
8/25/1996,8.8,8.8
8/18/1996,9,9
8/11/1996,12.9,12.9
8/4/1996,15.8,15.8
7/28/1996,18,18
7/21/1996,19.2,19.2
7/14/1996,18.7,18.7
7/7/1996,19.7,19.7
6/30/1996,19.5,19.5
6/23/1996,20.2,20.2
6/16/1996,21.9,21.9
6/9/1996,22.3,22.3
6/2/1996,22.1,22.1
5/26/1996,29.6,29.6
5/19/1996,25.7,25.7
5/12/1996,24.8,24.8
5/5/1996,25.4,25.4
4/28/1996,25.6,25.6
4/21/1996,24.2,24.2
4/14/1996,23.3,23.3
4/7/1996,21.5,21.5
3/31/1996,22.1,22.1
3/24/1996,19.1,19.1
3/17/1996,19.1,19.1
3/10/1996,19.3,19.3
3/3/1996,18.3,18.3
2/25/1996,12.5,12.5
2/18/1996,15.4,15.4
2/11/1996,16.8,16.8
2/4/1996,19.4,19.4
1/28/1996,22.5,22.5
1/21/1996,21.8,21.8
1/14/1996,22.7,22.7
1/7/1996,21.5,21.5
12/31/1995,20.8,20.8
12/24/1995,19.3,19.3
12/17/1995,19.8,19.8
12/10/1995,23.8,23.8
12/3/1995,24.8,24.8
11/26/1995,23.3,23.3
11/19/1995,26.8,26.8
11/12/1995,27.5,27.5
11/5/1995,24.6,24.6
10/29/1995,22.8,22.8
10/22/1995,21.8,21.8
10/15/1995,20,20
10/8/1995,19.2,19.2
10/1/1995,17.9,17.9
9/24/1995,16.8,16.8
9/17/1995,17.9,17.9
9/10/1995,17.2,17.2
9/3/1995,16.5,16.5
8/27/1995,15.7,15.7
8/20/1995,18,18
8/13/1995,17.5,17.5
8/6/1995,19,19
7/30/1995,17.8,17.8
7/23/1995,18.8,18.8
7/16/1995,21.2,21.2
7/9/1995,25,25
7/2/1995,24.4,24.4
6/25/1995,25,25
6/18/1995,23.6,23.6
6/11/1995,24.4,24.4
6/4/1995,26.2,26.2
5/28/1995,27.3,27.3
5/21/1995,22.3,22.3
5/14/1995,25.2,25.2
5/7/1995,22.1,22.1
4/30/1995,21.5,21.5
4/23/1995,19.8,19.8
4/16/1995,19.3,19.3
4/9/1995,20.2,20.2
4/2/1995,19.5,19.5
3/26/1995,22.2,22.2
3/19/1995,18.9,18.9
3/12/1995,22.8,22.8
3/5/1995,20.5,20.5
2/26/1995,19.7,19.7
2/19/1995,19.3,19.3
2/12/1995,15.1,15.1
2/5/1995,13.9,13.9
1/29/1995,14.9,14.9
1/22/1995,14.4,14.4
1/15/1995,14.9,14.9
1/8/1995,13.8,13.8
1/1/1995,14.7,14.7
12/25/1994,11.1,11.1
12/18/1994,9.4,9.4
12/11/1994,7.8,7.8
12/4/1994,12.4,12.4
11/27/1994,12.2,12.2
11/20/1994,12.3,12.3
11/13/1994,13,13
11/6/1994,12.9,12.9
10/30/1994,14.7,14.7
10/23/1994,15.4,15.4
10/16/1994,16.4,16.4
10/9/1994,19.6,19.6
10/2/1994,18.1,18.1
9/25/1994,17.1,17.1
9/18/1994,17.2,17.2
9/11/1994,18.1,18.1
9/4/1994,19.5,19.5
8/28/1994,16.1,16.1
8/21/1994,16.9,16.9
8/14/1994,20.2,20.2
8/7/1994,18.6,18.6
7/31/1994,21.2,21.2
7/24/1994,23.3,23.3
7/17/1994,24.6,24.6
7/10/1994,24.1,24.1
7/3/1994,25.7,25.7
6/26/1994,24.6,24.6
6/19/1994,23.1,23.1
6/12/1994,23.5,23.5
6/5/1994,21.5,21.5
5/29/1994,21.1,21.1
5/22/1994,18.8,18.8
5/15/1994,20.5,20.5
5/8/1994,19,19
5/1/1994,20.5,20.5
4/24/1994,20.4,20.4
4/17/1994,22.1,22.1
4/10/1994,18.6,18.6
4/3/1994,19.3,19.3
3/27/1994,20.4,20.4
3/20/1994,25.6,25.6
3/13/1994,25,25
3/6/1994,20.9,20.9
2/27/1994,21.1,21.1
2/20/1994,20.5,20.5
2/13/1994,22,22
2/6/1994,22.6,22.6
1/30/1994,19.2,19.2
1/23/1994,21.3,21.3
1/16/1994,20.7,20.7
1/9/1994,22.4,22.4
1/2/1994,20.2,20.2
12/26/1993,21.9,21.9
12/19/1993,23.5,23.5
12/12/1993,21.9,21.9
12/5/1993,22.4,22.4
11/28/1993,24.1,24.1
11/21/1993,26.1,26.1
11/14/1993,24.6,24.6
11/7/1993,25.8,25.8
10/31/1993,24.8,24.8
10/24/1993,23.5,23.5
10/17/1993,23.7,23.7
10/10/1993,20.4,20.4
10/3/1993,21.1,21.1
9/26/1993,21.6,21.6
9/19/1993,21.4,21.4
9/12/1993,20.7,20.7
9/5/1993,21.4,21.4
8/29/1993,20.5,20.5
8/22/1993,20.5,20.5
8/15/1993,22.8,22.8
8/8/1993,23.8,23.8
8/1/1993,25.2,25.2
7/25/1993,23,23
7/18/1993,24.3,24.3
7/11/1993,24.5,24.5
7/4/1993,23.9,23.9
6/27/1993,26.6,26.6
6/20/1993,26.4,26.4
6/13/1993,32.1,32.1
5/30/1993,23.4,23.4
5/23/1993,29.5,29.5
5/16/1993,28.6,28.6
5/9/1993,27.7,27.7
5/2/1993,28.2,28.2
4/25/1993,26.1,26.1
4/18/1993,24.3,24.3
4/11/1993,23,23
4/4/1993,26.1,26.1
3/28/1993,21.2,21.2
3/21/1993,23.2,23.2
3/14/1993,23,23
3/7/1993,24.1,24.1
2/28/1993,20.9,20.9
2/21/1993,23.8,23.8
2/14/1993,22.8,22.8
2/7/1993,23.4,23.4
1/31/1993,22.8,22.8
1/24/1993,17.3,17.3
1/17/1993,18.8,18.8
1/10/1993,16.2,16.2
1/3/1993,17.8,17.8
12/27/1992,15.3,15.3
12/20/1992,21.7,21.7
12/13/1992,20.2,20.2
12/6/1992,22,22
11/29/1992,21.5,21.5
11/22/1992,19.6,19.6
11/15/1992,21.8,21.8
11/8/1992,23.9,23.9
11/1/1992,22.8,22.8
10/25/1992,29.5,29.5
10/18/1992,25.7,25.7
10/11/1992,23,23
10/4/1992,23.9,23.9
9/27/1992,28.6,28.6
9/20/1992,23.9,23.9
9/13/1992,22.1,22.1
9/6/1992,22.8,22.8
8/30/1992,21.6,21.6
8/23/1992,21.6,21.6
8/16/1992,21.8,21.8
8/9/1992,22.7,22.7
8/2/1992,24.1,24.1
7/26/1992,26.3,26.3
7/19/1992,30.3,30.3
7/12/1992,33.3,33.3
7/5/1992,32.8,32.8
6/28/1992,29.8,29.8
6/21/1992,26.1,26.1
6/14/1992,26.5,26.5
6/7/1992,24.6,24.6
5/31/1992,21.8,21.8
5/24/1992,22.8,22.8
5/17/1992,23.5,23.5
5/10/1992,26,26
5/3/1992,28.6,28.6
4/26/1992,31.3,31.3
4/19/1992,34.2,34.2
4/12/1992,31.7,31.7
4/5/1992,31.3,31.3
3/29/1992,33,33
3/22/1992,33.9,33.9
3/15/1992,35.3,35.3
3/8/1992,35.6,35.6
3/1/1992,36.3,36.3
2/23/1992,33.6,33.6
2/16/1992,34.2,34.2
2/9/1992,29.8,29.8
2/2/1992,24.8,24.8
1/26/1992,20.9,20.9
1/12/1992,22.4,22.4
1/5/1992,21.1,21.1
12/29/1991,20.5,20.5
12/22/1991,19.5,19.5
12/15/1991,20.4,20.4
12/8/1991,23.4,23.4
12/1/1991,18.6,18.6
11/24/1991,20,20
11/17/1991,20.2,20.2
11/10/1991,19,19
11/3/1991,19.4,19.4
10/27/1991,23.6,23.6
10/20/1991,30,30
10/13/1991,30.6,30.6
10/6/1991,27.8,27.8
9/29/1991,25.6,25.6
9/22/1991,19.3,19.3
9/15/1991,19.3,19.3
9/8/1991,18.3,18.3
9/1/1991,19.1,19.1
8/25/1991,20.1,20.1
8/18/1991,22.5,22.5
8/11/1991,21.3,21.3
8/4/1991,26.6,26.6
7/28/1991,26.9,26.9
7/21/1991,29.1,29.1
7/14/1991,30.3,30.3
7/7/1991,24.5,24.5
6/30/1991,28.1,28.1
6/23/1991,22,22
6/16/1991,34.2,34.2
6/9/1991,32.8,32.8
6/2/1991,28.1,28.1
5/26/1991,29.6,29.6
